w,h,d,weight,fragility,target_w,target_h,target_d,thickness
15.0,40.0,15.0,22.0,2,31.28,56.28,31.28,6
57.28928685254539,18.58383394895999,49.298778111499246,9.033124924205728,1,66.45723683435476,27.751783930769367,58.46672809330862,3
45.25966679962728,54.844001928657015,46.80885113845875,43.68353088606334,1,62.743714212282484,72.32804934131221,64.29289855111395,7
37.92621663083701,18.725040991722835,13.464494758157553,30.849253833927456,2,56.3300375509796,37.12886191186543,31.868315678300142,7
13.581025224334008,19.957234937074706,13.208720835781065,8.281592236069235,0,18.568607360990626,24.944817073731322,18.19630297243768,2
13.579698618491145,46.76690443298801,19.749590225970234,48.135733845319734,0,28.13227474136788,61.31948055586474,34.30216634884697,7
8.19459866925097,29.7356913347797,24.859109948757048,26.15909043509837,1,21.47278037367458,43.013873039203304,38.137291653180654,6
52.63968801762144,47.71908063253497,27.465056977466542,4.108473367646923,3,68.6257216258567,63.70511424077023,43.451090585701806,4
38.06132564587649,8.595138666041189,42.38334692583399,31.528228768545826,0,48.62810055032749,19.16191357049219,52.950121830284985,6
43.943991778782504,31.816415652036138,8.117423769120947,13.033345897134106,2,58.07199479409469,45.94441866734832,22.245426784433132,5
6.132147186269135,6.848748010080545,6.906998732433651,40.28282586792647,3,30.80002539457149,31.5166262183829,31.574876940736004,7
58.34504186890969,8.4459261900445,26.555080961914996,40.98219264152644,3,83.18076810287603,33.281652424010844,51.39080719588134,7
50.78434524402319,54.8540599339426,43.34400306758893,48.95789411480576,3,77.53423983157657,81.60395452149598,70.09389765514231,7
16.678651087305187,12.658495411467733,15.638943862606542,25.342541785712935,3,37.760861115876295,33.74070544003884,36.72115389117765,7
15.000373196390534,34.283137525136944,40.282746469093844,23.02036554652299,0,23.52526092755605,42.80802525630246,48.80763420025936,5
15.08724804193886,27.61025814303886,19.29054758671647,37.79704246960079,1,31.15853823464305,43.681548335743045,35.36183777942066,7
21.733323362774573,24.103882944236346,53.7347359847434,7.057297488925365,3,38.42707476011666,40.79763434157843,70.42848738208549,4
33.86160373977308,54.490834012799986,54.26294693466391,27.57231793275965,2,51.4789600436354,72.1081903166623,71.88030323852622,7
28.756976025316366,6.200286822651923,21.350796235472956,27.53925620647712,2,46.36639751487087,23.80970831220643,38.96021772502746,7
21.017602710892305,41.5084327396574,17.64965646797823,4.928919579114167,1,29.200543409879707,49.6913734386448,25.832597166965627,2
38.651909209730874,57.986693881745275,27.62171846364272,21.190212232592224,0,46.737560145553005,66.07234481756741,35.70736939946485,5
12.672162335862302,35.80925009040131,18.22923718490818,42.737597529076496,1,29.92918574284066,53.06627349737967,35.486260591886534,7
21.067955669436998,56.52523541182005,41.9811113810437,42.879604288735685,3,46.35906069873356,81.81634044111661,67.27221641034026,7
25.149901381153043,7.874183360731307,50.433557650155706,5.41226441352421,0,29.448844840398856,12.173126819977117,54.73250110940152,2
30.083849131936976,28.033632549078877,42.020067200116934,4.990683696017627,0,34.28161321898121,32.23139663612311,46.21783128716116,2
48.18467787661575,19.308678502912812,50.33927459871422,13.503426111595797,3,66.42550014339875,37.549500769695804,68.58009686549721,5
15.982058018709786,45.19515307394014,26.834568921411076,43.80092009642268,2,37.49427884185123,66.70737389708158,48.34678974455252,7
33.282894112748636,58.97133997734856,13.597433388987348,6.880677961138198,3,49.934256823421805,75.62270268802173,30.248796099660517,4
37.58280128741234,19.10915343443363,45.58730210686757,36.13984173005859,1,53.2563633026264,34.78271544964769,61.26086412208163,7
7.554772699599875,40.979603081074096,24.826097782785464,5.5076981708486095,3,23.876620260603538,57.30145064207776,41.14794534378913,4
38.41496685457911,15.895369801785707,41.91989538760229,31.345323760517356,2,56.937844557103276,34.418247504309875,60.44277309012645,7
14.378826802801035,36.093164001438545,19.88541680899711,18.12533130639767,3,33.72890631633648,55.443243514973986,39.235496322532555,6
